,err_kdf,err_rf,kappa_kdf,kappa_rf,ece_kdf,ece_rf,rep,samples
8,0.6954545454545454,0.4363636363636364,0.2272727272727273,0.5151515151515152,0.19213572851418673,0.1306121212121212,8,20
9,0.703030303030303,0.38636363636363635,0.21885521885521875,0.5707070707070706,0.19357859696423918,0.1989666666666666,9,20
10,0.7045454545454546,0.38030303030303025,0.21717171717171713,0.5774410774410774,0.1955879908885933,0.1755969696969697,10,20
11,0.7651515151515151,0.4757575757575757,0.14983164983164965,0.47138047138047123,0.12794742826181008,0.1256212121212121,11,20
12,0.7378787878787878,0.3893939393939394,0.18013468013468015,0.5673400673400674,0.13919112119011545,0.20346969696969688,12,20
13,0.6515151515151515,0.446969696969697,0.27609427609427595,0.5033670033670034,0.24413166591036325,0.1494909090909091,13,20
14,0.7196969696969697,0.3606060606060606,0.20033670033670048,0.5993265993265993,0.20302540720300105,0.20158181818181817,14,20
15,0.5060606060606061,0.43333333333333335,0.4377104377104376,0.5185185185185186,0.417363403545946,0.14643939393939398,15,20
16,0.7560606060606061,0.5333333333333333,0.15993265993265993,0.40740740740740744,0.18186375928571552,0.10225151515151516,16,20
17,0.6166666666666667,0.45151515151515154,0.31481481481481466,0.49831649831649827,0.27761590508768635,0.1359545454545454,17,20
18,0.5848484848484848,0.43787878787878787,0.35016835016835,0.5134680134680134,0.2559467814230112,0.14787272727272727,18,20
19,0.5863636363636364,0.38636363636363635,0.3484848484848486,0.5707070707070707,0.20526315682504961,0.1824030303030303,19,20
20,0.8,0.4575757575757575,0.11111111111111116,0.4915824915824917,0.0952209184584582,0.11270606060606064,20,20
21,0.7363636363636363,0.45151515151515154,0.18181818181818166,0.49831649831649827,0.2307626293627831,0.1422848484848485,21,20
22,0.7106060606060607,0.4015151515151515,0.21043771043771053,0.5538720538720538,0.21180989782527035,0.17728181818181818,22,20
23,0.5893939393939394,0.37424242424242427,0.34511784511784516,0.5841750841750841,0.3050998110005839,0.21747878787878783,23,20
24,0.5954545454545455,0.39848484848484844,0.33838383838383834,0.5572390572390573,0.30336920072862456,0.1721939393939394,24,20
25,0.7287878787878788,0.4181818181818182,0.1902356902356901,0.5353535353535352,0.23020324664067807,0.1624696969696969,25,20
26,0.693939393939394,0.3939393939393939,0.22895622895622914,0.5622895622895623,0.20524777599576038,0.176530303030303,26,20
27,0.7303030303030302,0.49242424242424243,0.18855218855218858,0.45286195286195297,0.1709570956432453,0.0946060606060606,27,20
28,0.6287878787878788,0.4666666666666667,0.30134680134680136,0.4814814814814815,0.2556384712882018,0.13024848484848484,28,20
29,0.656060606060606,0.48484848484848486,0.2710437710437712,0.4612794612794613,0.24603278105299062,0.12556363636363638,29,20
30,0.39848484848484844,0.4257575757575758,0.5572390572390573,0.526936026936027,0.4317828041126351,0.1346242424242424,0,30
